,id,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,instant_bookable,reviews_per_month,price_in_euros,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
84,702894,,f,2,2,Bos en Lommer,52.37449,4.84762,Entire home/apt,4,2,4,11,$240.00,5,40,t,0,0,0,0,85,0,0,4.87,f,0.72,,$60,$1200,8%,21%,25%,$4.99,0.0,1200.0
85,705509,,f,2,2,Zuid,52.35315,4.87256,Entire home/apt,2,1,1,7,$110.00,3,150,t,3,15,28,28,270,12,2,4.53,f,2.39,,$55,$330,7%,14%,18%,$4.99,0.07671232876712329,608.5753424657535
86,708528,0.69,f,1,1,De Pijp - Rivierenbuurt,52.35537,4.89477,Private room,2,1,1,7,$139.00,3,10,t,1,1,13,13,193,7,3,4.87,f,2.48,,$69.5,$417,7%,15%,17%,$4.99,0.03561643835616438,650.8219178082192
87,719623,0.08000000000000007,f,2,2,Centrum-West,52.38284,4.89007,Entire home/apt,2,1,1,6,$156.00,4,150,t,0,0,0,155,85,0,0,4.61,f,0.73,,$78,$624,9%,23%,22%,$4.99,0.4246575342465753,780.0
88,728144,0.99,t,0,0,Centrum-Oost,52.36112,4.89632,Entire home/apt,4,2,4,9,$214.00,3,1125,t,0,0,0,0,127,10,1,4.89,f,1.09,,$53.5,$642,7%,10%,25%,$4.99,0.0,1079.1780821917807
89,729317,1.0,t,0,0,Centrum-Oost,52.36052,4.89568,Private room,2,1,1,10,$116.00,3,14,t,0,0,0,0,93,9,2,4.68,t,1.48,,$58,$348,5%,13%,17%,$4.99,0.0,557.9589041095891
90,730916,1.0,t,3,3,Westerpark,52.3731,4.86859,Private room,2,1,1,3,$85.00,3,90,t,10,14,18,234,372,18,4,4.74,f,3.2,,$42.5,$255,6%,12%,16%,$4.99,0.6410958904109589,425.4931506849315
91,733654,,f,0,0,Centrum-Oost,52.37098,4.9227,Entire home/apt,4,2,2,5,$150.00,5,30,t,0,0,0,0,10,0,0,5.0,f,0.09,,$37.5,$750,8%,15%,19%,$4.99,0.0,750.0
92,740616,,f,2,2,Centrum-Oost,52.36256,4.9108,Private room,1,1,1,6,$99.00,3,90,t,0,0,0,0,77,0,0,4.8,f,0.66,,$99,$297,5%,13%,16%,$4.99,0.0,495.0
93,741043,1.0,f,3,3,Westerpark,52.37654,4.87003,Entire home/apt,4,3,3,18,$495.00,2,1125,t,0,2,3,200,45,6,0,4.33,t,0.4,,$123.75,$990,12%,25%,23%,$10.99,0.547945205479452,2769.3698630136987
94,742160,0.6100000000000001,f,2,2,Centrum-Oost,52.36866,4.92071,Entire home/apt,16,10,24,28,$886.00,2,60,t,9,9,10,262,113,0,0,4.64,t,0.99,,$55.38,$1772,15%,16%,27%,$10.99,0.7178082191780822,4344.520547945205
95,746067,0.56,f,2,2,Centrum-West,52.38295,4.88726,Entire home/apt,2,1,1,6,$136.00,3,100,t,0,0,0,0,82,2,0,4.7,f,0.73,,$68,$408,8%,15%,21%,$4.99,0.0,678.7671232876712
96,754020,0.57,f,1,1,De Pijp - Rivierenbuurt,52.34829,4.91047,Entire home/apt,4,2,2,7,$199.00,5,90,t,0,0,0,60,73,4,2,4.86,f,0.63,,$49.75,$995,9%,21%,20%,$4.99,0.1643835616438356,828.2876712328767
97,754613,0.4099999999999999,t,1,1,Centrum-Oost,52.37266,4.90456,Entire home/apt,4,1,3,11,$250.00,4,250,t,3,5,13,91,314,51,5,4.93,f,2.77,,$62.5,$1000,10%,19%,19%,$4.99,0.2493150684931507,1355.4794520547946
98,758475,0.0,f,1,1,De Baarsjes - Oud-West,52.36827,4.87107,Entire home/apt,4,1,1,10,$100.00,6,60,t,0,0,0,0,39,0,0,4.74,f,0.34,,$25,$600,7%,12%,22%,$4.99,0.0,499.86301369863014
99,759060,0.55,f,1,1,Centrum-West,52.36754,4.88733,Entire home/apt,4,1,2,9,$325.00,3,60,t,0,0,0,0,106,2,0,4.94,f,0.92,,$81.25,$975,12%,24%,24%,$4.99,0.0,2197.958904109589
100,759402,0.0,f,1,1,Centrum-West,52.36652,4.87854,Entire home/apt,2,2,2,7,$180.00,6,30,t,0,0,0,0,42,0,0,4.9,f,0.41,,$90,$1080,6%,15%,17%,$4.99,0.0,900.0
101,771217,,f,1,1,Zuid,52.34091,4.84802,Entire home/apt,6,4,6,10,$250.00,3,35,t,0,0,0,0,10,0,0,5.0,f,0.13,,$41.67,$750,11%,13%,37%,$4.99,0.0,1250.0
102,775655,0.9700000000000001,f,0,0,Centrum-Oost,52.37026,4.89931,Private room,2,1,1,5,$135.00,3,31,t,0,1,1,231,415,6,1,4.61,t,3.57,,$67.5,$405,7%,16%,13%,$4.99,0.6328767123287671,683.8356164383562
103,776288,,f,2,2,Zuid,52.35548,4.87278,Entire home/apt,2,1,2,1,$121.00,3,150,t,4,12,25,26,257,17,5,4.49,f,2.28,,$60.5,$363,6%,12%,18%,$4.99,0.07123287671232877,660.5890410958904
104,778820,,f,1,1,De Baarsjes - Oud-West,52.35982,4.85635,Entire home/apt,2,1,1,7,$110.00,3,7,t,0,0,0,0,2,0,0,5.0,t,0.04,,$55,$330,6%,15%,17%,$4.99,0.0,550.0
105,800723,0.0,f,1,1,De Baarsjes - Oud-West,52.36884,4.86127,Entire home/apt,4,2,2,5,$150.00,4,14,t,0,0,0,2,18,0,0,4.83,f,0.16,,$37.5,$600,7%,17%,17%,$4.99,0.005479452054794521,750.0
106,805330,0.0,f,0,0,De Pijp - Rivierenbuurt,52.34725,4.89341,Entire home/apt,6,2,2,13,$249.00,4,21,t,0,0,0,11,15,1,1,4.93,f,0.13,,$41.5,$996,12%,16%,17%,$4.99,0.030136986301369864,1275.13698630137
107,816940,0.5900000000000001,f,1,1,Zuid,52.35323,4.85421,Entire home/apt,2,1,1,11,$200.00,5,7,t,0,8,8,8,61,0,0,4.73,f,0.55,,$100,$1000,10%,23%,18%,$4.99,0.021917808219178082,1000.0
108,818085,0.8799999999999999,t,0,0,Centrum-West,52.3767,4.8919,Private room,2,1,1,3,$167.00,2,28,t,0,2,19,88,310,62,6,4.83,f,3.12,,$83.5,$334,7%,20%,19%,$4.99,0.2410958904109589,912.0958904109589
109,818881,0.62,f,1,1,Centrum-Oost,52.36123,4.89619,Entire home/apt,2,1,1,8,$122.00,7,60,t,2,7,10,169,13,1,0,4.69,f,0.12,,$61,$854,6%,15%,18%,$4.99,0.46301369863013697,698.2739726027397
110,834233,0.64,f,1,1,Centrum-Oost,52.37272,4.90418,Private room,2,1,2,1,$125.00,3,28,t,0,0,0,140,311,11,4,4.88,f,2.71,,$62.5,$375,7%,16%,18%,$4.99,0.3835616438356164,634.5616438356165
111,835627,0.42000000000000004,f,1,1,Centrum-Oost,52.36899,4.91607,Entire home/apt,4,3,3,14,$180.00,4,13,t,0,0,0,0,16,2,0,5.0,f,0.14,,$45,$720,7%,20%,18%,$4.99,0.0,900.0
112,847093,0.46,f,1,1,De Baarsjes - Oud-West,52.3607,4.85991,Entire home/apt,4,4,5,8,$150.00,4,1125,t,0,5,5,5,47,2,0,4.73,f,0.42,,$37.5,$600,7%,18%,18%,$4.99,0.0136986301369863,803.082191780822
113,853645,,f,1,1,De Pijp - Rivierenbuurt,52.35327,4.88703,Entire home/apt,4,3,2,33,$800.00,30,60,t,0,0,0,0,70,0,0,4.84,t,0.61,,$200,$24000,15%,21%,27%,$10.99,0.0,4000.0
114,854328,1.0,t,3,3,De Baarsjes - Oud-West,52.37262,4.87342,Entire home/apt,4,3,3,11,$250.00,7,180,t,4,12,26,45,343,14,3,4.82,f,3.07,,$62.5,$1750,7%,19%,29%,$4.99,0.1232876712328767,1496.1780821917807
115,862411,0.0,f,1,1,Centrum-West,52.38139,4.88541,Entire home/apt,2,1,1,5,$180.00,93,365,t,29,59,89,364,80,0,0,4.9,f,0.71,,$90,$16740,8%,17%,18%,$4.99,0.9972602739726028,900.0
116,874340,1.0,f,3,3,Noord-West,52.42379,4.88851,Private room,2,1,2,5,$88.00,3,60,t,3,9,17,269,330,1,0,4.57,t,2.98,,$44,$264,7%,10%,17%,$4.99,0.736986301369863,433.1095890410959
117,874688,0.24,f,1,1,Oud-Oost,52.35894,4.91171,Entire home/apt,6,5,8,15,$359.00,4,360,t,0,5,11,256,28,0,0,4.78,f,0.26,,$59.83,$1436,6%,17%,23%,$4.99,0.7013698630136986,1768.150684931507
118,879986,0.8200000000000001,f,1,1,De Pijp - Rivierenbuurt,52.3418,4.91066,Private room,3,1,2,7,$109.00,5,1125,t,3,4,7,236,538,25,4,4.71,t,4.74,,$36.33,$545,5%,12%,19%,$4.99,0.6465753424657534,535.9589041095891
119,886192,0.86,f,2,2,Noord-Oost,52.38462,5.01234,Entire home/apt,4,2,3,10,$105.00,3,1125,t,21,40,55,149,42,3,0,4.68,f,0.43,,$26.25,$315,6%,11%,17%,$4.99,0.40821917808219177,566.0958904109589
120,890355,1.0,f,1,1,Westerpark,52.38875,4.87835,Entire home/apt,2,1,1,10,$144.00,5,1125,t,0,0,0,0,33,0,0,4.7,t,0.44,,$72,$720,7%,12%,16%,$4.99,0.0,717.7397260273973
121,895684,0.77,f,1,1,Westerpark,52.37342,4.8693,Entire home/apt,2,1,1,9,$300.00,3,1125,t,0,15,36,188,29,7,1,4.93,f,0.26,,$150,$900,5%,24%,24%,$4.99,0.5150684931506849,1500.0
122,901789,1.0,f,1,1,De Baarsjes - Oud-West,52.36897,4.85561,Entire home/apt,2,1,1,5,$210.00,3,1125,t,0,0,0,0,82,0,0,4.89,t,0.74,,$105,$630,10%,7%,23%,$4.99,0.0,755.4794520547945
123,916096,0.9299999999999999,f,1,1,Centrum-West,52.379,4.87909,Entire home/apt,4,2,2,12,$210.00,4,30,t,0,5,5,161,63,5,0,4.65,f,0.57,,$52.5,$840,9%,24%,26%,$4.99,0.4410958904109589,1050.0
124,919131,0.52,f,1,1,Zuid,52.35864,4.87632,Entire home/apt,6,4,4,13,$399.00,4,30,t,0,2,2,2,59,3,0,4.96,f,0.52,,$66.5,$1596,15%,12%,21%,$4.99,0.005479452054794521,1999.109589041096
125,932227,0.9400000000000001,f,1,1,De Baarsjes - Oud-West,52.3709,4.85301,Entire home/apt,2,1,1,3,$130.00,3,14,t,0,0,0,2,79,7,0,4.9,f,0.71,,$65,$390,5%,14%,20%,$4.99,0.005479452054794521,652.1232876712329
126,933523,1.0,t,0,0,IJburg - Zeeburgereiland,52.356197,4.991435,Private room,4,2,2,7,$201.00,3,60,t,1,7,12,25,47,27,3,4.91,f,0.48,,$50.25,$603,11%,18%,28%,$4.99,0.0684931506849315,1018.6301369863014
127,937635,0.8,f,1,1,De Baarsjes - Oud-West,52.3624,4.86575,Entire home/apt,5,3,4,8,$195.00,3,14,t,0,0,0,0,75,5,2,4.68,f,0.67,,$39,$585,9%,12%,20%,$4.99,0.0,975.0
128,946142,1.0,t,1,1,Westerpark,52.37991,4.87414,Private room,2,1,2,7,$95.00,3,34,t,0,1,5,180,375,24,3,4.8,f,3.36,,$47.5,$285,5%,13%,15%,$4.99,0.4931506849315068,466.43835616438355
129,951483,0.54,f,1,1,Watergraafsmeer,52.35149,4.92265,Entire home/apt,4,3,3,6,$140.00,3,30,t,0,0,6,165,44,1,1,4.71,f,0.39,,$35,$420,6%,14%,19%,$4.99,0.4520547945205479,754.5342465753424
130,957396,0.1,f,1,1,IJburg - Zeeburgereiland,52.36073,4.98005,Entire home/apt,6,5,5,16,$300.00,3,365,t,0,11,25,154,25,1,0,4.91,f,0.25,,$50,$900,10%,23%,18%,$4.99,0.42191780821917807,1500.0
131,963328,0.74,t,2,2,Centrum-West,52.36561,4.88492,Private room,2,1,1,3,$96.00,3,125,t,2,6,11,24,401,39,9,4.81,f,3.62,,$48,$288,6%,12%,14%,$4.99,0.06575342465753424,442.0
132,964986,0.14,f,1,1,De Pijp - Rivierenbuurt,52.35531,4.90333,Entire home/apt,4,2,3,16,$355.00,3,365,t,0,0,0,96,27,4,0,5.0,f,0.24,,$88.75,$1065,7%,30%,26%,$4.99,0.26301369863013696,1773.4931506849316
133,978852,0.6,f,1,1,De Baarsjes - Oud-West,52.37225,4.86262,Private room,2,1,1,2,$32.00,28,1124,t,0,0,0,0,260,5,0,3.6799999999999997,t,2.35,,$16,$896,10%,9%,13%,$0.99,0.0,155.35616438356163
134,982907,0.64,f,1,1,Oostelijk Havengebied - Indische Buurt,52.37,4.95127,Entire home/apt,4,3,2,5,$145.00,5,1125,t,2,3,4,8,9,2,0,4.78,f,0.09,,$36.25,$725,9%,18%,15%,$4.99,0.021917808219178082,811.3013698630137
